Time,Trace_vel,Backaz,MdCCM,Sigma_tau,datetime,airt_c_avg,nearest_met_time,met_time_difference_s,vel_corrected_5C,label,Pressure,Duration_seconds
19649.361435185187,0.3256017141682498,328.4623787956891,0.9268444368119264,0.008692302355411,2023-10-19 08:40:28.000000,-4.007,2025-03-17 16:00:00,-68.0,0.331005088571428,Glacier,0.5024207065080973,20.0
20277.732083333336,0.3229175977925165,331.67505170692266,0.8883772703994512,0.0059134496796295,2025-07-08 17:34:12.000000,-4.42,2023-03-21 02:45:00,328.0,0.32852858954247793,Glacier,0.17227064813215281,20.0
20280.09662037037,0.3262676470030434,330.9574309494222,0.7391429566275779,0.007286795622763,2025-07-11 02:19:08.000000,-3.362,2023-03-23 09:30:00,-140.0,0.33128534820472105,Glacier,0.05726655519361652,20.0
19553.97180555556,0.3262387339095405,331.0682526029144,0.4953550558448101,0.0056962840715926,2023-07-15 23:19:24.000000,0.151,2024-10-31 02:00:00,444.0,0.32912012913471983,Glacier,0.08772259047635375,20.0
19723.580231481483,0.3287162901307175,327.6258808209295,0.7571669892940831,0.0159236360897997,2024-01-01 13:55:32.000000,2.979,2025-05-20 21:15:00,132.0,0.3299170413652868,Glacier,0.025544053728214503,20.0
19396.88203703704,0.3314066519897637,329.2773258125428,0.6953949670766406,0.0256953266150725,2023-02-08 21:10:08.000000,7.627,2024-05-31 20:30:00,380.0,0.3298526585322526,Glacier,0.019417098991122504,20.0
19253.147222222226,0.3262387339095405,331.0682526029144,0.8932938979116666,0.0056962840715926,2022-09-18 03:32:00.000000,-2.725,2024-01-06 11:45:00,-41480.0,0.3308656151674086,Glacier,0.4204839583791704,20.0
20014.24773148148,0.3168899955363777,331.0225016343803,0.9748479843525188,0.0076477395813698,2024-10-18 05:56:44.000000,-13.72,2026-02-26 15:15:00,32.0,0.3281239739491122,Glacier,2.1708026662419244,20.0
19652.95592592593,0.3220629220649718,326.75429869614163,0.5221724531863684,0.0076471866042139,2023-10-22 22:56:32.000000,-7.237,2025-03-21 07:15:00,-404.0,0.3293900500646136,Glacier,0.06118611200322231,20.0
19713.17425925926,0.3265856013192548,327.7580762553358,0.9498844047181704,0.0154230914155149,2023-12-22 04:10:56.000000,2.563,2025-05-10 20:15:00,392.0,0.3280257549280538,Glacier,0.08995517722149568,20.0
