event_id_,datetime_min,datetime_max,datetime_count,Backaz_mean,Backaz_tolist,Trace_vel_mean,Trace_vel_tolist,MdCCM_mean,MdCCM_max,MdCCM_min,MdCCM_tolist,Sigma_tau_mean,Sigma_tau_max,Sigma_tau_min,Sigma_tau_tolist,airt_c_avg_median,vel_corrected_5C_mean,vel_corrected_5C_tolist,label_first,label_last,label_nunique,label_tolist
20220919_1,2022-09-19 05:53:00.000000,2022-09-19 05:53:00.000000,1,306.8719811124862,[306.8719811124862],0.3245109504965033,[0.3245109504965033],0.3909782378461203,0.3909782378461203,0.3909782378461203,[0.3909782378461203],0.0120613763791793,0.0120613763791793,0.0120613763791793,[0.0120613763791793],-0.729,0.3279054214874484,[0.3279054214874484],Prow,Prow,1,['Prow']
20220919_2,2022-09-19 17:17:32.000000,2022-09-19 17:17:48.000000,5,283.63209987070525,"[283.6323051322425, 283.02459428641293, 283.64298903193543, 283.79437243895524, 284.06623846398014]",0.33304376398586977,"[0.3335756310540731, 0.3316260917921008, 0.3324665990886101, 0.3334583075876147, 0.33409219040695]",0.49701566159276184,0.5913806609727191,0.2989966154745291,"[0.2989966154745291, 0.4392399009807504, 0.5800306138685093, 0.5913806609727191, 0.5754305166673013]",0.0063763785838730005,0.009133826539338,0.0043648272729011,"[0.009087432014859, 0.009133826539338, 0.0048555456476013, 0.0044402614446656, 0.0043648272729011]",-0.033,0.33609842062081274,"[0.3366351659405989, 0.3346677456260874, 0.3355159620031069, 0.3365167663906223, 0.3371564631436481]",Kite,Kite,1,"['Kite', 'Kite', 'Kite', 'Kite', 'Kite']"
20220919_3,2022-09-19 17:18:00.000000,2022-09-19 17:18:00.000000,1,281.98566245871564,[281.98566245871564],0.3244072224504745,[0.3244072224504745],0.3985594619458893,0.3985594619458893,0.3985594619458893,[0.3985594619458893],0.0071926591882566,0.0071926591882566,0.0071926591882566,[0.0071926591882566],-0.033,0.3273826652650224,[0.3273826652650224],Kite,Kite,1,['Kite']
20220920_1,2022-09-20 08:10:12.000000,2022-09-20 08:10:24.000000,4,282.1385563016736,"[282.0688042306999, 282.4364315857283, 282.16045033836053, 281.8885390519057]",0.3258879716387811,"[0.3255291991834164, 0.3267074910050114, 0.3268930763734737, 0.3244221199932229]",0.3102939904067291,0.3320061110663765,0.2653843831317979,"[0.3209486194549355, 0.3320061110663765, 0.3228368479738064, 0.2653843831317979]",0.0066712160799112,0.0087120579253841,0.0054268007830431,"[0.0065317108022916, 0.0054268007830431, 0.006014294808926, 0.0087120579253841]",-5.412,0.33216422495337494,"[0.3317985429247577, 0.3329995273849109, 0.3331886869288117, 0.3306701425750196]",Kite,Kite,1,"['Kite', 'Kite', 'Kite', 'Kite']"
20220920_2,2022-09-20 14:37:56.000000,2022-09-20 14:38:20.000000,5,283.6326747774427,"[283.61633402738926, 283.79437243895524, 283.9090980828638, 283.9090980828638, 282.93447125514115]",0.3319865966849509,"[0.3290063273359502, 0.3334583075876147, 0.3334209019690433, 0.3334209019690433, 0.330626544563103]",0.35062158519383907,0.4035116101621492,0.309244458137461,"[0.3587283199092252, 0.4035116101621492, 0.3590521616496526, 0.3225713761107073, 0.309244458137461]",0.00549710841253688,0.0080253887498426,0.0042462251251769,"[0.0065274416178224, 0.0044402614446656, 0.0042462251251769, 0.0042462251251769, 0.0080253887498426]",-3.646,0.3372698152248404,"[0.3342421180144871, 0.3387649468631723, 0.3387269459734077, 0.3387269459734077, 0.3358881192997272]",Kite,Kite,1,"['Kite', 'Kite', 'Kite', 'Kite', 'Kite']"
20220920_3,2022-09-20 15:27:44.000000,2022-09-20 15:28:08.000000,6,281.54742096666536,"[282.1920865578909, 282.1920865578909, 282.1920865578909, 280.9193926603765, 280.9193926603765, 280.86948080556624]",0.3278284279195475,"[0.3285222574679985, 0.3285222574679985, 0.3285222574679985, 0.3271697560917679, 0.3271697560917679, 0.3270642829297536]",0.4380683920843171,0.4980072063165673,0.3385402486625414,"[0.4463209510559066, 0.4599980488221551, 0.4980072063165673, 0.4910075297640519, 0.3945363678846799, 0.3385402486625414]",0.0077758040982964,0.0090195193630333,0.0074620300081204,"[0.0075704150701681, 0.0075704150701681, 0.0075704150701681, 0.0074620300081204, 0.0074620300081204, 0.0090195193630333]",-3.23,0.33278873019530286,"[0.3334930579312052, 0.3334930579312052, 0.3334930579312052, 0.332120092144072, 0.332120092144072, 0.3320130230900575]",Kite,Kite,1,"['Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite']"
20220920_4,2022-09-20 16:19:00.000000,2022-09-20 16:19:20.000001,6,278.9859748140562,"[282.1202819360517, 278.35911338965707, 278.35911338965707, 278.35911338965707, 278.35911338965707, 278.35911338965707]",0.32707758025365435,"[0.3293173116362659, 0.3266296339771321, 0.3266296339771321, 0.3266296339771321, 0.3266296339771321, 0.3266296339771321]",0.6619684781601717,0.7364130349286705,0.3746012404185841,"[0.3746012404185841, 0.7140661278231851, 0.6851042617452536, 0.734328765843246, 0.7364130349286705, 0.7272974382020903]",0.009046862841736282,0.0090807381424747,0.0090400877815886,"[0.0090807381424747, 0.0090400877815886, 0.0090400877815886, 0.0090400877815886, 0.0090400877815886, 0.0090400877815886]",-3.375,0.3321857579650547,"[0.3346008872898525, 0.3318700884593052, 0.3316608930102926, 0.3316608930102926, 0.3316608930102926, 0.3316608930102926]",Kite,Kite,1,"['Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite']"
20220923_1,2022-09-23 05:48:36.000000,2022-09-23 05:49:08.000000,9,280.64774064203255,"[280.9193926603765, 280.9939908715714, 280.9939908715714, 280.5603762876369, 280.5603762876369, 280.5603762876369, 280.03650029379105, 280.4780688213177, 280.7265933967541]",0.32364497416635324,"[0.3271697560917679, 0.3245058193999535, 0.3245058193999535, 0.3249308645650242, 0.3249308645650242, 0.3249308645650242, 0.3216822574735541, 0.3211128306403808, 0.3190356907964969]",0.5365753491067835,0.6485756768116493,0.3963706312508734,"[0.5263326781709974, 0.5877640674645925, 0.6043339028959582, 0.6105287338480847, 0.6485756768116493, 0.5263252225718483, 0.4931886587047953, 0.4357585702422527, 0.3963706312508734]",0.007845841054031433,0.0088041641695109,0.0074620300081204,"[0.0074620300081204, 0.0076356434356522, 0.0076356434356522, 0.0078132350333513, 0.0078132350333513, 0.0078132350333513, 0.0080872995554398, 0.0088041641695109, 0.0075480837818535]",-4.221,0.3291467573912122,"[0.3327314586344487, 0.3300222365114582, 0.3300222365114582, 0.3304545072061853, 0.3304545072061853, 0.3304545072061853, 0.3271506756143316, 0.3265715688440402, 0.3244591187866169]",Kite,Kite,1,"['Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite']"
20220923_2,2022-09-23 05:57:08.000000,2022-09-23 05:57:44.000000,10,281.1013340536832,"[281.8766234761793, 281.2269948754512, 281.2269948754512, 281.2269948754512, 280.9939908715714, 280.5603762876369, 280.9193926603765, 280.9939908715714, 280.9939908715714, 280.9939908715714]",0.32428573923006454,"[0.3237532045827965, 0.3229934298204143, 0.3229934298204143, 0.3229934298204143, 0.3245058193999535, 0.3249308645650242, 0.3271697560917679, 0.3245058193999535, 0.3245058193999535, 0.3245058193999535]",0.5015406495349046,0.5634212638452104,0.3612554947884733,"[0.3612554947884733, 0.5150167441476271, 0.5384328954080111, 0.5538531468635255, 0.5634212638452104, 0.5230383019335773, 0.4588549574085442, 0.5253801295001115, 0.4973587694029758, 0.4787947920509909]",0.00722945328695807,0.0078132350333513,0.0065882220824378,"[0.0067120278381868, 0.0065882220824378, 0.0065882220824378, 0.0065882220824378, 0.0076356434356522, 0.0078132350333513, 0.0074620300081204, 0.0076356434356522, 0.0076356434356522, 0.0076356434356522]",-4.295,0.32983022749154156,"[0.3292568276640942, 0.3284841371564479, 0.3284841371564479, 0.328529340246869, 0.3300676512615497, 0.3304999814415582, 0.3327772462037993, 0.3300676512615497, 0.3300676512615497, 0.3300676512615497]",Kite,Kite,1,"['Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite']"
20220923_3,2022-09-23 07:35:36.000000,2022-09-23 07:35:40.000000,2,281.67372799354587,"[281.8766234761793, 281.4708325109124]",0.32328867127562005,"[0.3237532045827965, 0.3228241379684436]",0.5089174151016186,0.5531285854948408,0.4647062447083964,"[0.4647062447083964, 0.5531285854948408]",0.00699359791256975,0.0072751679869527,0.0067120278381868,"[0.0067120278381868, 0.0072751679869527]",-4.251,0.32880273762816126,"[0.3292751940941315, 0.3283302811621911]",Kite,Kite,1,"['Kite', 'Kite']"
