event_id_,datetime_min,datetime_max,datetime_count,Backaz_mean,Backaz_tolist,Trace_vel_mean,Trace_vel_tolist,MdCCM_mean,MdCCM_max,MdCCM_min,MdCCM_tolist,Sigma_tau_mean,Sigma_tau_max,Sigma_tau_min,Sigma_tau_tolist,airt_c_avg_median,vel_corrected_5C_mean,vel_corrected_5C_tolist,label_first,label_last,label_nunique,label_tolist,Pressure,Duration_seconds,Infrasound_param
20220919_1,2022-09-19 17:17:36.000000,2022-09-19 17:17:56.000000,6,283.6691237529606,"[283.02459428641293, 283.64298903193543, 283.79437243895524, 284.06623846398014, 283.74327414823995, 283.74327414823995]",0.3332720487457928,"[0.3316260917921008, 0.3324665990886101, 0.3334583075876147, 0.33409219040695, 0.3339945517997408, 0.3339945517997408]",0.538050122143491,0.5913806609727191,0.4392399009807504,"[0.4392399009807504, 0.5800306138685093, 0.5913806609727191, 0.5754305166673013, 0.5505385636008242, 0.4916804767708418]",0.0100774768407945,0.0188352000701307,0.0043648272729011,"[0.009133826539338, 0.0048555456476013, 0.0044402614446656, 0.0043648272729011, 0.0188352000701307, 0.0188352000701307]",8.75,0.3310479367300195,"[0.32941296417376464, 0.33024786229187286, 0.3312329525617248, 0.33186260512412624, 0.33176561811431415, 0.33176561811431415]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1', 'box1']",0.0968467362663532,40.0,3.8738694506541305
20220920_1,2022-09-20 14:38:00.000000,2022-09-20 14:38:00.000000,1,283.79437243895524,[283.79437243895524],0.3334583075876147,[0.3334583075876147],0.4035116101621492,0.4035116101621492,0.4035116101621492,[0.4035116101621492],0.0044402614446656,0.0044402614446656,0.0044402614446656,[0.0044402614446656],8.14,0.3315919107154394,[0.3315919107154394],box1,box1,1,['box1'],0.0600270009500546,20.0,1.2005400190010933
20220920_2,2022-09-20 15:27:44.000000,2022-09-20 15:27:56.000000,4,281.8739130835123,"[282.1920865578909, 282.1920865578909, 282.1920865578909, 280.9193926603765]",0.3281841321239409,"[0.3285222574679985, 0.3285222574679985, 0.3285222574679985, 0.3271697560917679]",0.4738334339896702,0.4980072063165673,0.4463209510559066,"[0.4463209510559066, 0.4599980488221551, 0.4980072063165673, 0.4910075297640519]",0.0075433188046561,0.0075704150701681,0.0074620300081204,"[0.0075704150701681, 0.0075704150701681, 0.0075704150701681, 0.0074620300081204]",8.67,0.3260402411711554,"[0.32637615768244177, 0.32637615768244177, 0.32637615768244177, 0.3250324916372961]",box1,box1,1,"['box1', 'box1', 'box1', 'box1']",0.0631530580768456,32.0,2.020897858459062
20220920_3,2022-09-20 16:19:04.000000,2022-09-20 16:19:20.000001,5,278.35911338965707,"[278.35911338965707, 278.35911338965707, 278.35911338965707, 278.35911338965707, 278.35911338965707]",0.3266296339771321,"[0.3266296339771321, 0.3266296339771321, 0.3266296339771321, 0.3266296339771321, 0.3266296339771321]",0.7194419257084891,0.7364130349286705,0.6851042617452536,"[0.7140661278231851, 0.6851042617452536, 0.734328765843246, 0.7364130349286705, 0.7272974382020903]",0.0090400877815886,0.0090400877815886,0.0090400877815886,"[0.0090400877815886, 0.0090400877815886, 0.0090400877815886, 0.0090400877815886, 0.0090400877815886]",9.01,0.3243003318166402,"[0.32430033181664025, 0.32430033181664025, 0.32430033181664025, 0.32430033181664025, 0.32430033181664025]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1']",0.3999065333909595,36.000001,14.396635601981076
20220923_1,2022-09-23 05:48:36.000000,2022-09-23 05:49:04.000000,8,280.63788404769235,"[280.9193926603765, 280.9939908715714, 280.9939908715714, 280.5603762876369, 280.5603762876369, 280.5603762876369, 280.03650029379105, 280.4780688213177]",0.3242211345875853,"[0.3271697560917679, 0.3245058193999535, 0.3245058193999535, 0.3249308645650242, 0.3249308645650242, 0.3249308645650242, 0.3216822574735541, 0.3211128306403808]",0.5541009388387723,0.6485756768116493,0.4357585702422527,"[0.5263326781709974, 0.5877640674645925, 0.6043339028959582, 0.6105287338480847, 0.6485756768116493, 0.5263252225718483, 0.4931886587047953, 0.4357585702422527]",0.0078830607130536,0.0088041641695109,0.0074620300081204,"[0.0074620300081204, 0.0076356434356522, 0.0076356434356522, 0.0078132350333513, 0.0078132350333513, 0.0078132350333513, 0.0080872995554398, 0.0088041641695109]",3.085,0.325343025581531,"[0.32830185009704516, 0.32562869547874734, 0.32562869547874734, 0.32605521141266014, 0.32605521141266014, 0.32605521141266014, 0.322795363280277, 0.3222239660794512]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1']",0.1367452014811076,48.0,6.563769671093167
20220923_2,2022-09-23 05:57:12.000000,2022-09-23 05:57:48.000000,10,281.029386312004,"[281.2269948754512, 281.2269948754512, 281.2269948754512, 280.9939908715714, 280.5603762876369, 280.9193926603765, 280.9939908715714, 280.9939908715714, 280.9939908715714, 281.15714605938695]",0.3244755890099277,"[0.3229934298204143, 0.3229934298204143, 0.3229934298204143, 0.3245058193999535, 0.3249308645650242, 0.3271697560917679, 0.3245058193999535, 0.3245058193999535, 0.3245058193999535, 0.3256517023814284]",0.5059045722942831,0.5634212638452104,0.4048947223822573,"[0.5150167441476271, 0.5384328954080111, 0.5538531468635255, 0.5634212638452104, 0.5230383019335773, 0.4588549574085442, 0.5253801295001115, 0.4973587694029758, 0.4787947920509909, 0.4048947223822573]",0.0082421463744527,0.0168389587131338,0.0065882220824378,"[0.0065882220824378, 0.0065882220824378, 0.0065882220824378, 0.0076356434356522, 0.0078132350333513, 0.0074620300081204, 0.0076356434356522, 0.0076356434356522, 0.0076356434356522, 0.0168389587131338]",3.095,0.3255924671405698,"[0.3241052062076865, 0.3241052062076865, 0.3241052062076865, 0.32562280158668677, 0.3260493098006446, 0.328295907820782, 0.32562280158668677, 0.32562280158668677, 0.32562280158668677, 0.32677262881446445]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1']",0.1229968694520356,56.0,6.887824689313996
20220923_3,2022-09-23 07:35:36.000000,2022-09-23 07:35:52.000000,5,281.5571400740056,"[281.8766234761793, 281.4708325109124, 281.6405491617745, 281.6405491617745, 281.15714605938695]",0.3240417506604499,"[0.3237532045827965, 0.3228241379684436, 0.3239898541847904, 0.3239898541847904, 0.3256517023814284]",0.5163601573600431,0.5585046679843417,0.4647062447083964,"[0.4647062447083964, 0.5531285854948408, 0.5585046679843417, 0.5333331339759917, 0.4721281546366455]",0.012879339295059,0.0168389587131338,0.0067120278381868,"[0.0067120278381868, 0.0072751679869527, 0.016785270968511, 0.016785270968511, 0.0168389587131338]",2.927,0.325256053695251,"[0.3249664263298405, 0.32403387816285734, 0.3252039627445038, 0.3252039627445038, 0.32687203849454943]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1']",0.0669928024981197,36.0,2.41174088993231
20220923_4,2022-09-23 08:26:52.000000,2022-09-23 08:26:52.000000,1,280.8181296941526,[280.8181296941526],0.3254457026722239,[0.3254457026722239],0.4720990613443207,0.4720990613443207,0.4720990613443207,[0.4720990613443207],0.0086212579023071,0.0086212579023071,0.0086212579023071,[0.0086212579023071],3.024,0.3266078948214136,[0.32660789482141367],box1,box1,1,['box1'],0.0415487715470445,20.0,0.8309754309408901
20220923_5,2022-09-23 18:42:44.000000,2022-09-23 18:42:44.000000,1,290.55194562267354,[290.55194562267354],0.3257782595416834,[0.3257782595416834],0.4160399125055684,0.4160399125055684,0.4160399125055684,[0.4160399125055684],0.0280068740525313,0.0280068740525313,0.0280068740525313,[0.0280068740525313],5.531,0.3254677418932586,[0.32546774189325867],box1,box1,1,['box1'],0.0462310764368325,20.0,0.9246215287366504
20220923_6,2022-09-23 18:43:28.000000,2022-09-23 18:43:44.000000,5,288.34599013697346,"[289.25781576998963, 289.1800045270652, 288.10957444314664, 287.9109149505895, 287.2716409940765]",0.3226180256486939,"[0.320892803294863, 0.3228065886456127, 0.3221069098209307, 0.3237581424434196, 0.3235256840386438]",0.4872224476616648,0.5221084943754197,0.4547218521457285,"[0.4547218521457285, 0.4684863594917081, 0.5221084943754197, 0.50580066354983, 0.4849948687456374]",0.0079390973745085,0.0087030051305438,0.0069744605426642,"[0.0087030051305438, 0.0084200796073368, 0.0069744605426642, 0.0079680813506648, 0.007629860241333]",5.531,0.3223105201975788,"[0.3205869422505572, 0.32249890346446136, 0.3217998915431621, 0.3234495502826311, 0.3232173134470825]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1']",0.066746110190493,36.0,2.4028599668577484
